#TYPE Selected.System.Diagnostics.Process
"ProcessName","Path","Id"
"NVIDIA Share","C:\Program Files\NVIDIA Corporation\NVIDIA GeForce Experience\NVIDIA Share.exe","7372"
"NVIDIA Share","C:\Program Files\NVIDIA Corporation\NVIDIA GeForce Experience\NVIDIA Share.exe","12736"
"NVIDIA Share","C:\Program Files\NVIDIA Corporation\NVIDIA GeForce Experience\NVIDIA Share.exe","23448"
"NVIDIA Web Helper","C:\Program Files (x86)\NVIDIA Corporation\NvNode\NVIDIA Web Helper.exe","3856"
"nvsphelper64",,"3900"
"OfficeClickToRun",,"5188"
"PhoneExperienceHost","C:\Program Files\WindowsApps\Microsoft.YourPhone_1.22082.119.0_x64__8wekyb3d8bbwe\PhoneExperienceHost.exe","16300"
"powershell","C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe","22924"
"PresentationFontCache",,"2352"
"python","c:\Users\colec\AppData\Local\Programs\Python\Python39\python.exe","5736"
"python3.10","C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.10_3.10.2288.0_x64__qbz5n2kfra8p0\python3.10.exe","10724"
"python3.10","C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.10_3.10.2288.0_x64__qbz5n2kfra8p0\python3.10.exe","17472"
"Razer Central","C:\Program Files (x86)\Razer\Razer Services\Razer Central\Razer Central.exe","8320"
"Razer Synapse 3","C:\Program Files (x86)\Razer\Synapse3\WPFUI\Framework\Razer Synapse 3 Host\Razer Synapse 3.exe","15192"
"Razer Synapse Service",,"9464"
"Razer Synapse Service Process","C:\Program Files (x86)\Razer\Synapse3\Service\..\UserProcess\Razer Synapse Service Process.exe","9328"
"RazerCentralService",,"4576"
"RazerCortex",,"1852"
"Registry",,"172"
"RtkAudUService64","C:\Windows\System32\RtkAudUService64.exe","2912"
"RtkAudUService64",,"4544"
"RtkAudUService64",,"11388"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","3056"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","3392"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","3568"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","5780"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","9080"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","13712"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","18912"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","21928"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","25348"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","25372"
"SearchApp","C:\WINDOWS\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy\SearchApp.exe","3320"
"SearchApp","C:\WINDOWS\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy\SearchApp.exe","25072"
"SearchIndexer",,"10580"
"SecurityHealthService",,"11172"
"SecurityHealthSystray","C:\Windows\System32\SecurityHealthSystray.exe","7588"
"services",,"952"
"SgrmBroker",,"3884"
"ShellExperienceHost","C:\WINDOWS\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe","2148"
"sihost","C:\WINDOWS\system32\sihost.exe","25412"
"smss",,"632"
"spoolsv",,"3732"
